Name,Degree,Location,City,Consult Fee,Years of Experience,Speciality,Availability,Doctor       
Dr. Vishwas Sharma,BAMS,Gulmohar Colony,Bhopal,â‚¹299,20,AYUSHAyurveda,03:00-05:11,hepatologist
Dr. Harpreet Arora,MBBS,Bhanpur,Bhopal,â‚¹300,7,General Physician,03:00-05:12,Hepatologist
Dr. Harsh Vibhor Bharti,"MDS - Orthodontics, BDS, Fellowship in Aesthetic Medicine (FAM)",Bairagarh,Bhopal,â‚¹500,12,"Orthodontist, Dental Surgeon, Cosmetic/Aesthetic Dentist",03:00-05:13,Hepatologist
Dr. Rajul Khare,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",Nehru Nagar,Bhopal,â‚¹200,12,"Dentist, Dentofacial Orthopedist, Orthodontist, Dental Surgeon",03:00-05:14,Hepatologist
Dr. Deepesh Yadav,BHMS,Arera Colony,Bhopal,â‚¹500,20,"AYUSHHomoeopath, Sexologist, Sexologist (Homeopathy)",03:00-05:15,Hepatologist
Dr. Anubha Alghare,DHMS (Diploma in Homeopathic Medicine and Surgery),Khajuri Kalan,Bhopal,â‚¹500,31,AYUSHHomoeopath,03:00-05:16,Internal Medcine
Dr. S S Rajput,"MBBS, Diploma in Child Health (DCH)",Bagh Swaniya,Bhopal,â‚¹500,37,"Pediatrician, General Physician",03:00-05:17,Internal Medcine
Dr. Surendra Nath Tripathi,"DHMS (Diploma in Homeopathic Medicine and Surgery), MD - Homeopathy",Arera Colony,Bhopal,â‚¹500,31,AYUSHHomoeopath,03:00-05:18,Neurologist
Dr. Varun Kumar Malviya   (Physiotherapist),BPTh/BPT,Kolar Road,Bhopal,â‚¹1000,13,TherapistPhysiotherapist,03:00-05:19,Neurologist
Dr. Nisha Badwe,MBBS,Gautam Nagar,Bhopal,â‚¹300,36,General Physician,03:00-05:20,Neurologist
Dr. Shivani Badal,"MS - Obstetrics & Gynaecology, MBBS",Arera Colony,Bhopal,â‚¹500,11,"Obstetrician, Gynecologist, Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn)",03:00-05:21,Osteopathic
Dr. Krishnakant Paigwar,BDS,Baghmugalia,Bhopal,â‚¹300,14,"Dental Surgeon, Cosmetic/Aesthetic Dentist, Dentist",03:00-05:22,Otolaryngologist
Dr. Ayush Tiwari,"MBBS, MS - Orthopaedics",Minal Residency,Bhopal,â‚¹400,n9,Orthopedic surgeon,03:00-05:23,Otolaryngologist
Dr. Abhinav Bansal,"BDS, MDS - Periodontics",Kolar Road,Bhopal,â‚¹300,21,"Periodontist, Implantologist, Dentist",03:00-05:24,Pediatrician
Dr. Swetha P Jain,"MBBS, MS - Obstetrics & Gynaecology",Nariyalkheda,Bhopal,â‚¹300,13,"Gynecologist, Obstetrician",03:00-05:25,Phlebologist
Dr. Anuj Singh Parihar,"BDS, MDS - Periodontics",Indrapuri,Bhopal,â‚¹300,12,"Dentist, Implantologist, Periodontist",03:00-05:26,Pulmonologist
Dr. Aparna Sahu- Ingle,"MBBS, DDVL",Habib Ganj,Bhopal,â‚¹400,11,"Dermatologist, Aesthetic Dermatologist, Dermatosurgeon, Pediatric Dermatologist, Trichologist, Cosmetologist",03:00-05:27,Pulmonologist
Dr. Shikha Pawar,BHMS,Baghmugalia,Bhopal,â‚¹400,16,AYUSHHomoeopath,03:00-05:28,Rheumatologists
Dr. Ankita Jindal,"MDS - Periodontics, BDS, FICOI",MP Nagar,Bhopal,â‚¹500,15,"Periodontist, Dentist, Implantologist",03:00-05:29,Rheumatologists
Dr. Jagannath Pandey,"BAMS, MD - Ayurveda Medicine",Minal Residency,Bhopal,â‚¹300,34,AYUSHAyurveda,03:00-05:30,Tuberculosis
Dr. Apoorva Shakti Nigam,"MBBS, MS - ENT",Lalghati,Bhopal,â‚¹500,11,ENT/ Otorhinolaryngologist,03:00-05:31,Allergist
Dr. Surendra Nath Tripathi,"DHMS (Diploma in Homeopathic Medicine and Surgery), MD - Homeopathy",Arera Colony,Bhopal,â‚¹500,31,AYUSHHomoeopath,03:00-05:32,Allergist
Dr. Neeta Marwaha,BDS,Bharat Heavy Electricals (BHEL),Bhopal,â‚¹300,28,"Dentist, Dental Surgeon",03:00-05:33,Cardiologist
Dr. Ankita Jindal,"MDS - Periodontics, BDS, FICOI",MP Nagar,Bhopal,â‚¹500,15,"Periodontist, Dentist, Implantologist",03:00-05:34,Cardiologist
Dr. Suyash Vyas,"BDS, MDS - Oral Medicine and Radiology",Kolar Road,Bhopal,â‚¹300,10,"Dentist, Oral Medicine and Radiology, Dental Surgeon",03:00-05:35,Dermatologist
Dr. Ankita Katiyar,"MBBS, Diploma in Child Health (DCH)",Minal Residency,Bhopal,â‚¹350,n6,Pediatrician,03:00-05:36,Dermatologist
Dr. Kuldeep Verma,MBBS,Ayodhaya Nagar,Bhopal,â‚¹700,22,TherapistSexologist,03:00-05:37,Dermatologist
Dr. Gopinath Mishra,"MD - Ayurveda Medicine, BAMS",Habib Ganj,Bhopal,â‚¹500,36,"AYUSHAyurveda, Ayurvedic General Medicine",03:00-05:38,Dermatologist
Dr. K. F. Kazmi,"MBBS, MD - Pediatrics",Subhash Nagar,Bhopal,â‚¹300,53,Pediatrician,03:00-05:39,Dermatologist
Dr. Sanjeev Bajpai,BDS,Arera Colony,Bhopal,â‚¹400,31,Dentist,03:00-05:40,Endocrinologist
Dr. Aparajita Sharma,"MBBS, MS - Obstetrics & Gynaecology",Shahjahanbad,Bhopal,â‚¹500,17,"Obstetrician, Gynecologist, Reproductive Endocrinologist (Infertility)",03:00-05:41,Endocrinologist
Dr. Sukarn Awasthi,"MD - Pediatrics, MBBS",Karond,Bhopal,â‚¹300,n9,Pediatrician,03:00-05:42,Endocrinologist
Dr. Mitali Soni Loya,"M.D. (Psychiatry), MBBS",Lalghati,Bhopal,â‚¹500,13,Psychiatrist,03:00-05:43,Endocrinologist
Dr. Mitali Soni Loya,"M.D. (Psychiatry), MBBS",Lalghati,Bhopal,â‚¹500,13,Psychiatrist,03:00-05:44,Gastroenterologist
Dr. Avadhesh Narayan Khare,"MD - Medicine, DM - Cardiology, MBBS",South T.T. Nagar,Bhopal,â‚¹500,15,"Cardiologist, Interventional Cardiologist, Internal Medicine",03:00-05:45,Gastroenterologist
Dr. Pratima,BDS,Arera Colony,Bhopal,â‚¹400,32,Dentist,03:00-05:46,Gastroenterologist
Dr. Praveena Agarwal,"MBBS, MS - Obstetrics & Gynaecology",Kotra Sultanabad,Bhopal,â‚¹500,34,"Obstetrician, Gynecologist",03:00-05:47,Gastroenterologist 
Dr. Anuj Singh Parihar,"BDS, MDS - Periodontics",Indrapuri,Bhopal,â‚¹300,12,"Dentist, Implantologist, Periodontist",03:00-05:48,Gastroenterologist
Dr. J. P. Chowdhary,MBBS,Kolar Road,Bhopal,â‚¹500,36,General Physician,03:00-05:49,Gynecologist
Dr. Sumera Khan Hashmi,"M.D. (Psychiatry), MBBS",Shahajahanabad,Bhopal,â‚¹500,t9,"Psychotherapist, Psychiatrist, Geriatric Psychiatrist",03:00-05:50,Hepatologist
Dr. Siddharth Gupta,"BDS, MDS - Prosthodontics",Arera Colony,Bhopal,â‚¹300,17,"Prosthodontist, Dentist, Implantologist",03:00-05:51,Hepatologist
Dr. Neeta Marwaha,BDS,Bharat Heavy Electricals (BHEL),Bhopal,â‚¹300,28,"Dentist, Dental Surgeon",03:00-05:52,hepatologist
Dr. Arpana Bansal,"BDS, MDS - Paedodontics And Preventive Dentistry",Kolar Road,Bhopal,â‚¹300,21,"Pediatric Dentist, Dentist",03:00-05:53,Hepatologist
Dr. Virul Shrivastava,"MBBS, MD - Obstetrics & Gynaecology",Habib Ganj,Bhopal,â‚¹500,n5,"Infertility Specialist, Gynecologist, Obstetrician",04:00-06:00,Hepatologist
Dr. Atanu Bhattacharya,"MBBS, MD",Lingiadih,Bilaspur,â‚¹300,22,General Practitioner,04:00-06:01,Hepatologist
Dr. Sunil Kumar Kedia,"MBBS, MS - General Surgery",Lingiadih,Bilaspur,â‚¹400,23,General Surgeon,04:00-06:02,Hepatologist
Dr. Manish Varma,"MBBS, MS - General Surgery",Lingiadih,Bilaspur,â‚¹300,22,General Surgeon,04:00-06:03,Internal Medcine
Dr. Raj Kumar,"MBBS, MS - Neuro Surgery",Lingiadih,Bilaspur,â‚¹500,24,Neurosurgeon,04:00-06:04,Internal Medcine
Dr. Manoj Rai,"MBBS, DNB - General Medicine",Lingiadih,Bilaspur,â‚¹400,25,Internal Medicine,04:00-06:05,Neurologist
Dr. Sunil Sharma,"MBBS, MCh - Neuro Surgery",Lingiadih,Bilaspur,â‚¹500,30,Neurologist,04:00-06:06,Neurologist
Dr. Ravi Sahu,MBBS,Sarkanda Bilaspur,Bilaspur,â‚¹200,n9,General Physician,04:00-06:07,Neurologist
Dr. Jayant Kanaskar,"MBBS, MS - Urology, DNB - Urology/Genito - Urinary Surgery",Lingiadih,Bilaspur,â‚¹500,32,Urological Surgeon,04:00-06:08,Osteopathic
Dr. Rashmi Sharma,"MBBS, MD - Obstetrics & Gynaecology, MRCOG(UK)",Lingiadih,Bilaspur,â‚¹600,24,"Obstetrician, Gynecologist",04:00-06:09,Otolaryngologist
Dr. Vijay Shrivas,"MBBS, DNB - General Medicine",Telipara,Bilaspur,â‚¹600,23,General Physician,04:00-06:10,Otolaryngologist
Dr. Virendra Pratap Singh,BAMS,Rajendra Nagar,Bilaspur,â‚¹299,14,AYUSHAyurveda,04:00-06:11,Pediatrician
Dr. Partha Pratim Mishra,"MBBS, MS - ENT",Lingiadih,Bilaspur,â‚¹400,29,ENT/ Otorhinolaryngologist,04:00-06:12,Phlebologist
Dr. Rashmi Sharma,"MBBS, MD - Obstetrics & Gynaecology, MRCOG(UK)",Lingiadih,Bilaspur,â‚¹600,24,"Obstetrician, Gynecologist",04:00-06:13,Pulmonologist
Dr. A. Jayavelu,"MBBS, MD - General Medicine, DM - Neurology",Lingiadih,Bilaspur,â‚¹500,41,Neurologist,04:00-06:14,Pulmonologist
Dr. Rakesh Pandey,"MBBS, MCh - Plastic Surgery",Lingiadih,Bilaspur,â‚¹500,24,Plastic Surgeon,04:00-06:15,Rheumatologists
Dr. Sandhya Chandrakar,"MBBS, MD",Lingiadih,Bilaspur,â‚¹400,13,General Practitioner,04:00-06:16,Rheumatologists
Dr. Sushil Kumar,"MBBS, MD - Pediatrics",Lingiadih,Bilaspur,â‚¹400,36,Pediatrician,04:00-06:17,Tuberculosis
Dr. Sujit Pahari,"MBBS, DOMS",Lingiadih,Bilaspur,â‚¹400,25,Ophthalmologist/ Eye Surgeon,04:00-06:18,Allergist
Dr. Jayant Kanaskar,"MBBS, MS - Urology, DNB - Urology/Genito - Urinary Surgery",Lingiadih,Bilaspur,â‚¹500,32,Urological Surgeon,04:00-06:19,Allergist
Dr. Vijay Shrivas,"MBBS, DNB - General Medicine",Telipara,Bilaspur,â‚¹600,23,General Physician,04:00-06:20,Cardiologist
Dr. Rajib Lochan Bhanja,"MBBS, DNB - Cardiology",Lingiadih,Bilaspur,â‚¹500,20,Cardiologist,04:00-06:21,Cardiologist
Dr. Diwakar Kumar,"MBBS, MD - Anaesthesiology",Lingiadih,Bilaspur,â‚¹400,22,Anesthesiologist,04:00-06:22,Dermatologist
Dr. A. Jayavelu,"MBBS, MD - General Medicine, DM - Neurology",Lingiadih,Bilaspur,â‚¹500,41,Neurologist,04:00-06:23,Dermatologist
Dr. Ravi Sahu,MBBS,Sarkanda Bilaspur,Bilaspur,â‚¹200,n9,General Physician,04:00-06:24,Dermatologist
Dr. Mohan Gupta,"MBBS, DVD",Lingiadih,Bilaspur,â‚¹400,30,Dermatologist,04:00-06:25,Dermatologist
Dr. Deepak Kumar Gupta,"MBBS, MD - Pulmonary Medicine",Lingiadih,Bilaspur,â‚¹400,16,Pulmonologist,04:00-06:26,Dermatologist
Dr. Mohan Gupta,"MBBS, DVD",Lingiadih,Bilaspur,â‚¹400,30,Dermatologist,04:00-06:27,Endocrinologist
Dr. Kalpana Dash,"MBBS, MD - General Medicine, DM - Endocrinology",Telipara,Bilaspur,â‚¹700,35,Endocrinologist,04:00-06:28,Endocrinologist
Dr. Vijay Kumar Shrivas,"MBBS, DNB - General Medicine",Lingiadih,Bilaspur,â‚¹400,23,Internal Medicine,04:00-06:29,Endocrinologist
Dr. Devinder Singh,"MBBS, DNB - Gastroenterology",Lingiadih,Bilaspur,â‚¹500,26,Gastroenterologist,04:00-06:30,Endocrinologist
Dr. Gauri Shankar Asati,"MBBS, MS - Orthopaedics",Lingiadih,Bilaspur,â‚¹400,17,Joint Replacement Surgeon,04:00-06:31,Gastroenterologist
Dr. Amit Verma,"MBBS, MS - General Surgery",Lingiadih,Bilaspur,â‚¹500,26,General Surgeon,04:00-06:32,Gastroenterologist
Dr. Indira Mishra,"MBBS, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)",Lingiadih,Bilaspur,â‚¹400,23,Pediatrician,04:00-06:33,Gastroenterologist
Dr. Sushil Kumar,"MBBS, MD - Pediatrics",Lingiadih,Bilaspur,â‚¹400,36,Pediatrician,04:00-06:34,Gastroenterologist 
Dr. Vinit Kumar Srivastava,"MBBS, MD - Anaesthesiology",Lingiadih,Bilaspur,â‚¹400,23,Anesthesiologist,04:00-06:35,Gastroenterologist
Dr. Anil Mokasdar,"MBBS, MS - ENT",Lingiadih,Bilaspur,â‚¹400,37,ENT/ Otorhinolaryngologist,04:00-06:36,Gynecologist
Dr. Virendra Pratap Singh,BAMS,Rajendra Nagar,Bilaspur,â‚¹299,14,AYUSHAyurveda,04:00-06:37,Hepatologist
Dr. Kavita Babbar,"MBBS, MD - Obstetrics & Gynaecology",Lingiadih,Bilaspur,â‚¹400,15,Gynecologist,04:00-06:38,Hepatologist
Dr. Kalpana Dash,"MBBS, MD - General Medicine, DM - Endocrinology",Telipara,Bilaspur,â‚¹700,35,Endocrinologist,04:00-06:39,hepatologist
Dr. Amit Verma,"MBBS, MS - General Surgery",Lingiadih,Bilaspur,â‚¹500,26,General Surgeon,04:00-06:40,Hepatologist
Dr. Seema Sharma,"MBBS, MD - Obstetrics & Gynaecology",Industrial Area Phase II,Chandigarh,â‚¹700,27,"Gynecologist, Obstetrician, Infertility Specialist",04:00-06:41,Hepatologist
Dr. Rahul Sateeja,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",Sector-15,Chandigarh,â‚¹500,t9,"Orthodontist, Dentist",04:00-06:42,Hepatologist
Dr. Abhishek,"MDS - Prosthodontist And Crown Bridge, BDS",Sector-18,Chandigarh,â‚¹500,17,"Prosthodontist, Implantologist, Cosmetic/Aesthetic Dentist",04:00-06:43,Hepatologist
Dr. Sakshi Sharma,"MBBS, MS - Obstetrics & Gynaecology",Chandigarh,Chandigarh,â‚¹500,14,"Gynecologist, Infertility Specialist",04:00-06:44,Internal Medcine
Dr. Aseem Goyal,"MBBS, MS - Orthopaedics",Sector 27,Chandigarh,â‚¹500,13,Orthopedic surgeon,04:00-06:45,Internal Medcine
Dr. Shikha Sardana,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",Sector 46,Chandigarh,â‚¹600,15,"Gynecologist, Obstetrician",04:00-06:46,Neurologist
Ms. Anju Sethi,Diploma In Naturopathy (ND),Sector 46,Chandigarh,â‚¹250,15,AYUSHYoga and Naturopathy,04:00-06:47,Neurologist
Dr. Shikha Sardana,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",Sector 46,Chandigarh,â‚¹600,15,"Gynecologist, Obstetrician",04:00-06:48,Neurologist
Dr. Monika Mittal,"MBBS, MD - Dermatology , Venereology & Leprosy",Sector 44,Chandigarh,â‚¹400,27,"Dermatologist, Cosmetologist, Pediatric Dermatologist",04:00-06:49,Osteopathic
Dr. Priyanka Prakash,"MBBS, DVD",Sector 27,Chandigarh,â‚¹500,16,"Dermatologist, Cosmetologist",04:00-06:50,Otolaryngologist
Dr. Roby Bose,"MBBS, Masters in Clinical Dermatology",Sector 9,Chandigarh,â‚¹1000,17,Hair Transplant Surgeon,04:00-06:51,Otolaryngologist
Dr. Geetika Garg,"MD - General Medicine, MBBS",Sector 27,Chandigarh,â‚¹500,16,"Internal Medicine, General Physician",04:00-06:52,Pediatrician
Dr. Tilak Raj,BAMS,Sector 21,Chandigarh,â‚¹299,40,AYUSHAyurveda,04:00-06:53,Phlebologist
Dr. Harsh Kumar Aggarwal,"MBBS, MS - General Surgery",Sector 27,Chandigarh,â‚¹499,28,General Surgeon,04:00-06:54,Pulmonologist
Dr. Suruchi Garg,"MBBS, MD - Dermatology , Venereology & Leprosy",Sector 9,Chandigarh,â‚¹800,24,"Dermatologist, Cosmetologist, Aesthetic Dermatologist, Dermatosurgeon, Trichologist",04:00-06:55,Pulmonologist
Dr. K Babu,"MBBS, MD - Pediatrics",Sector 21,Chandigarh,â‚¹500,15,"Pediatrician, General Physician",04:00-06:56,Rheumatologists
Dr. Sanjeev Paria,"MBBS, MD - Dermatology , Venereology & Leprosy",Sector 9,Chandigarh,â‚¹1000,10,Hair Transplant Surgeon,04:00-06:57,Rheumatologists
Dr. Vikas Jaswal,BHMS,Sector 9,Chandigarh,â‚¹450,11,AYUSHHomoeopath,04:00-06:58,Tuberculosis
Dr. Sahil Chopra,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",Sector 19A,Chandigarh,â‚¹300,13,"Orthodontist, Implantologist",12:00-03:00,Allergist
Dr. Deepak Tyagi,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Sector-33,Chandigarh,â‚¹1000,35,"Spine And Pain Specialist, Neurosurgeon, Spine Surgeon (Neuro)",12:00-03:01,Allergist
Dr. Aditi Jha,"MBBS, MD - Dermatology , Venereology & Leprosy",Sector 40,Chandigarh,â‚¹500,14,Dermatologist,12:00-03:02,Cardiologist
Dr. Bhavneet Kaur,BHMS,Sector 9,Chandigarh,â‚¹450,18,AYUSHHomoeopath,12:00-03:03,Cardiologist
Dr. Nakul Singla,"BDS, MDS - Periodontics",Sector 19D,Chandigarh,â‚¹250,12,"Dentist, Periodontist, Implantologist",12:00-03:04,Dermatologist
Dr. Gurjeet Kaur Malhi,"MBBS, DGO, MD - Obstetrics & Gynaecology",Industrial Area Phase II,Chandigarh,â‚¹800,30,"Obstetrician, Gynecologist",12:00-03:05,Dermatologist
Dr. Shallu Sharma,BAMS,Sector 21,Chandigarh,â‚¹299,a5,AYUSHAyurveda,12:00-03:06,Dermatologist
Dr. Kritika Bansal,BDS,Manimajra,Chandigarh,â‚¹500,t8,Dentist,12:00-03:07,Dermatologist
Dr. Jasneet Kaur,"MBBS, MS - Obstetrics & Gynaecology",Sector 46,Chandigarh,â‚¹600,16,Infertility Specialist,12:00-03:08,Dermatologist
Dr. Damanjit Kaur,"MBBS, M.D. (Psychiatry)",Sector 21,Chandigarh,â‚¹700,16,"Psychiatrist, Addiction Psychiatrist, Geriatric Psychiatrist",12:00-03:09,Endocrinologist
Dr. Geetika Garg,"MD - General Medicine, MBBS",Sector 27,Chandigarh,â‚¹500,16,"Internal Medicine, General Physician",12:00-03:10,Endocrinologist
Dr. Siddharth Aggarwal,"MBBS, MS - Orthopaedics",Sector 19A,Chandigarh,â‚¹700,19,Orthopedic surgeon,12:00-03:11,Endocrinologist
Dr. Jasneet Kaur,"MBBS, MS - Obstetrics & Gynaecology",Sector 46,Chandigarh,â‚¹600,16,Infertility Specialist,12:00-03:12,Endocrinologist
Ms. Anjali Gulati,"BA - Psychology, MA - Psychology",Sector 21,Chandigarh,â‚¹1200,t4,TherapistCounselling Psychologist,12:00-03:13,Gastroenterologist
Dr. Dinesh Bhoye,"MBBS, MS - General Surgery, Masters in Clinical Dermatology",Sector 9,Chandigarh,â‚¹1000,12,Hair Transplant Surgeon,12:00-03:14,Gastroenterologist
Dr. Guranchal Pawar   (Physiotherapist),"BPTh/BPT, MPTh/MPT - Musculoskeletal Physiotherapy",Sector 21,Chandigarh,â‚¹400,12,"TherapistPhysiotherapist, Geriatric Physiotherapist",12:00-03:15,Gastroenterologist
Dr. Sumeet Inder Singh,"MBBS, M.D. (Psychiatry), Special Distinction of Sexologist",Sector 34,Chandigarh,â‚¹1300,26,"Psychiatrist, Sexologist, Addiction Psychiatrist",12:00-03:16,Gastroenterologist 
Dr. Ankur Gupta,"MBBS, MD - Respiratory Medicine",Sector 34,Chandigarh,â‚¹400,2,"General Physician, Tuberculous and chest Diseases Specialist, Pulmonologist",12:00-03:17,Gastroenterologist
Dr. Deepak Vohra,BDS,Sector-45,Chandigarh,â‚¹300,24,Dentist,12:00-03:18,Gynecologist
Dr. Agnish Rajesh,BDS,Sector 8,Chandigarh,â‚¹500,28,Dentist,12:00-03:19,Hepatologist
Dr. Sonam Lathwal   (Physiotherapist),BPTh/BPT,Sector-19,Chandigarh,â‚¹400,12,TherapistPhysiotherapist,12:00-03:20,Hepatologist
Dr. Pankaj Raina,"MD - Pediatrics, MBBS",Zirakpur,Chandigarh,â‚¹400,23,Pediatrician,12:00-03:21,hepatologist
Dr. Ajay Aggarwal,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",Sector 19A,Chandigarh,â‚¹700,14,"Laparoscopic Surgeon (Obs & Gyn), Infertility Specialist, Gynecologist",12:00-03:22,Hepatologist
Dr. Mahesh Hiranandani,"MBBS, MD - Pediatrics",Industrial Area Phase II,Chandigarh,â‚¹700,28,Pediatrician,12:00-03:23,Hepatologist
Dr. Neeraj Goya,"MBBS, MD - Pediatrics",Industrial Area Phase II,Chandigarh,â‚¹700,11,Pediatrician,12:00-03:24,Hepatologist
Dr. Anita,"MD - Obstetrics & Gynaecology, MBBS",Sector-19,Chandigarh,â‚¹800,15,"Gynecologist, Obstetrician",12:00-03:25,Hepatologist
Dr. Pragya Goel,"MBBS, MD - Obstetrics & Gynaecology",Industrial Area Phase II,Chandigarh,â‚¹800,22,"Gynecologist, Infertility Specialist",12:00-03:26,Internal Medcine
Dr. Sambhav Upadhyay,"MBBS, Masters in Clinical Dermatology",Sector 9,Chandigarh,â‚¹1000,7,Hair Transplant Surgeon,12:00-03:27,Internal Medcine
Dr. Ved P Kapoor,BDS,Sector 7,Chandigarh,â‚¹300,53,Dentist,12:00-03:28,Neurologist
Dr. Vijaya Gupta,"MBBS, MS - Obstetrics & Gynaecology",Sector-32,Chandigarh,â‚¹500,21,"Gynecologist, Obstetrician",12:00-03:29,Neurologist
Dr. Neetu Arora,BAMS,Sector 44,Chandigarh,â‚¹500,21,AYUSHAyurveda,12:00-03:30,Neurologist
Dr. Sudha Gupta,"BDS, MDS - Prosthodontics",Zirakpur,Chandigarh,â‚¹300,11,"Cosmetic/Aesthetic Dentist, Implantologist, Dental Surgeon",12:00-03:31,Osteopathic
Ms. Pinky Goenka,Masters in Dietetics and Food Service Management,Zirakpur,Chandigarh,â‚¹1200,6,TherapistDietitian/Nutritionist,12:00-03:32,Otolaryngologist
Dr. Jasbrinder Singh Teja,"MSc - Master of Oral Implantology (MOI), BDS",Sector 8,Chandigarh,â‚¹500,26,"Dental Surgeon, Implantologist",12:00-03:33,Otolaryngologist
Dr. Reena,BDS,Zirakpur,Chandigarh,â‚¹300,12,"Dentist, Dental Surgeon",12:00-03:34,Pediatrician
Dr. Parag Kochar,BDS,Sector 21,Chandigarh,â‚¹1000,25,Dentist,12:00-03:35,Phlebologist
Dr. Shanujeet Kaur,"MBBS, MD - Obstetrics & Gynaecology",Industrial Area Phase II,Chandigarh,â‚¹850,22,"Gynecologist, Infertility Specialist, Obstetrician",12:00-03:36,Pulmonologist
Dr. Mayank Bibra,"MBBS, M.D. (Psychiatry)",Chandigarh,Chandigarh,â‚¹1200,11,"Psychiatrist, Geriatric Psychiatrist, Sexologist",12:00-03:37,Pulmonologist
Dr. Geeta Garg,"MBBS, MD - Dermatology , Venereology & Leprosy",Sector 37 C,Chandigarh,â‚¹600,23,"Dermatologist, Pediatric Dermatologist, Dermatosurgeon, Cosmetologist",12:00-03:38,Rheumatologists
Dr. Vandna,"MBBS, MD - Obstetrics & Gynaecology",Sector-43,Chandigarh,â‚¹800,21,Infertility Specialist,12:00-03:39,Rheumatologists
Dr. Manpreet S. Walia,"BDS, MDS - Prosthodontist And Crown Bridge",Manimajra,Chandigarh,â‚¹500,26,"Prosthodontist, Implantologist, Dentist",12:00-03:40,Tuberculosis
Dr. Deepak Chaudhary,"MBBS, Masters in Clinical Dermatology",Sector 9,Chandigarh,â‚¹1000,16,Hair Transplant Surgeon,12:00-03:41,Allergist
Dr. R P Gupta,"BDS, MDS - Pedodontics",Sector 22,Chandigarh,â‚¹500,53,"Pediatric Dentist, Cosmetic/Aesthetic Dentist",12:00-03:42,Allergist
Dr. Kuldeepak Rajput,DHMS (Diploma in Homeopathic Medicine and Surgery),Sector 44,Chandigarh,â‚¹800,24,AYUSHHomoeopath,12:00-03:43,Cardiologist
Dr. Monica Agarwal,"MBBS, MD - Obstetrics & Gynaecology",Industrial Area Phase II,Chandigarh,â‚¹600,24,"Gynecologist, Obstetrician",12:00-03:44,Cardiologist
Dr. Ritambhra Bhalla,"MBBS, MD - Obstetrics & Gynaecology",Industrial Area Phase II,Chandigarh,â‚¹700,26,"Gynecologist, Obstetrician, Infertility Specialist",12:00-03:45,Dermatologist
Dr. Seema Vohra,BDS,Sector-45,Chandigarh,â‚¹300,23,Dentist,12:00-03:46,Dermatologist
Dr. Suruchi Garg,"MBBS, MD - Dermatology , Venereology & Leprosy",Sector 9,Chandigarh,â‚¹800,24,"Dermatologist, Cosmetologist, Aesthetic Dermatologist, Dermatosurgeon, Trichologist",12:00-03:47,Dermatologist
Dr. Ashish Naval Rana,"MBBS, M.D. (Psychiatry)",Sector 44,Chandigarh,â‚¹589,t6,"Psychiatrist, Addiction Psychiatrist, Neuropsychiatrist, Sexologist, Geriatric Psychiatrist",12:00-03:48,Dermatologist
Dr. Vaani Mehta,"MBBS, MD - Obstetrics & Gynaecology",Sector-43,Chandigarh,â‚¹800,11,"Obstetrician, Gynecologist, Infertility Specialist",12:00-03:49,Dermatologist
Dr. Gaurav Palikhe,"MBBS, MD - General Medicine, DM - Endocrinology",Industrial Area Phase II,Chandigarh,â‚¹700,t9,Endocrinologist,12:00-03:50,Endocrinologist
Dr. Sudhanshu Grover,"MBBS, MD - Pediatrics, DM - Neonatology",Industrial Area Phase II,Chandigarh,â‚¹700,13,"Neonatologist, Pediatrician",12:00-03:51,Endocrinologist
Dr. Ravi Kumar,"MDS - Periodontics, BDS",Sector-15,Chandigarh,â‚¹500,t8,"Dentist, Periodontist, Implantologist",12:00-03:52,Endocrinologist
Dr. Tilak Raj,BAMS,Sector 21,Chandigarh,â‚¹299,40,AYUSHAyurveda,12:00-03:53,Endocrinologist
Dr. Nidhi Agnish,BDS,Sector 8,Chandigarh,â‚¹500,29,"Dentist, Implantologist",12:00-03:54,Gastroenterologist
Dr. Vishal Dua,"MBBS, M.F. Hom",Zirakpur,Chandigarh,â‚¹500,22,AYUSHHomoeopath,12:00-03:55,Gastroenterologist
Dr. Pragya Goel,"MBBS, MD - Obstetrics & Gynaecology",Industrial Area Phase II,Chandigarh,â‚¹800,22,"Gynecologist, Infertility Specialist",02:00-07:00,Gastroenterologist
Dr. Sahil Mogla,BDS,Sector-10,Chandigarh,â‚¹500,12,"Dentist, Dental Surgeon",02:00-07:01,Gastroenterologist 
Ms. Nikita Tanwar,PGD in Nutrition and Dietetics,Sector 32,Chandigarh,â‚¹600,t9,TherapistDietitian/Nutritionist,02:00-07:02,Gastroenterologist
Dr. Akhil Gupta,"BDS, MDS - Conservative Dentistry & Endodontics",Zirakpur,Chandigarh,â‚¹300,13,"Endodontist, Cosmetic/Aesthetic Dentist",02:00-07:03,Gynecologist
